,NU_ANO,TP_FAIXA_ETARIA,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,CO_MUNICIPIO_PROVA,NO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,CO_PROVA_CN,CO_PROVA_CH,CO_PROVA_LC,CO_PROVA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TP_LINGUA,TP_STATUS_REDACAO,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025
0,2022,2,F,1,3,1,2,0,2,1.0,0,5300108.0,Brasília,53.0,DF,2.0,1.0,1.0,5300108,Brasília,53,DF,1,1,1,1,1187.0,1177.0,1181.0,1183.0,564.0,581.3,604.5,590.4,0,1.0,780.0,D,E,D,D,3,E,A,B,C,A,A,B,B,B,A,A,A,A,B,A,A,D,A,A,B
1,2022,3,M,1,2,1,2,0,2,1.0,0,5300108.0,Brasília,53.0,DF,2.0,1.0,1.0,5300108,Brasília,53,DF,1,1,1,1,1087.0,1056.0,1066.0,1078.0,636.4,675.7,641.5,732.6,0,1.0,620.0,G,F,E,E,5,H,A,D,D,C,A,B,B,B,A,B,A,A,D,B,B,D,B,D,B
2,2022,3,M,1,1,1,2,0,2,1.0,0,5300108.0,Brasília,53.0,DF,2.0,1.0,1.0,5300108,Brasília,53,DF,1,1,1,1,1085.0,1057.0,1068.0,1075.0,477.6,558.0,478.0,372.0,0,1.0,640.0,C,B,C,B,4,E,A,D,D,B,B,B,B,B,A,B,A,A,B,A,A,E,A,A,B
3,2022,3,F,1,3,1,2,0,2,1.0,0,5300108.0,Brasília,53.0,DF,2.0,1.0,1.0,5300108,Brasília,53,DF,1,1,1,1,1087.0,1056.0,1066.0,1078.0,476.5,510.2,535.0,652.6,1,1.0,400.0,B,E,C,F,4,D,A,C,C,B,A,B,A,B,A,B,A,A,B,A,B,D,B,B,B
4,2022,3,F,1,1,1,2,0,3,1.0,0,5300108.0,Brasília,53.0,DF,4.0,1.0,1.0,5300108,Brasília,53,DF,1,1,1,1,1085.0,1057.0,1068.0,1075.0,505.1,620.4,601.5,500.4,0,1.0,740.0,G,G,E,D,3,I,A,C,D,B,A,B,B,B,B,B,B,B,C,B,B,D,A,D,B
5,2022,2,M,1,3,1,2,0,2,1.0,0,5300108.0,Brasília,53.0,DF,2.0,1.0,1.0,5300108,Brasília,53,DF,1,1,1,1,1086.0,1055.0,1065.0,1076.0,585.0,621.1,611.2,579.7,0,1.0,800.0,G,E,F,E,3,F,A,C,D,B,A,B,B,B,A,B,A,B,C,A,B,D,A,C,B
6,2022,3,M,1,1,1,2,0,2,1.0,0,5300108.0,Brasília,53.0,DF,2.0,1.0,1.0,5300108,Brasília,53,DF,1,1,1,1,1087.0,1056.0,1066.0,1078.0,442.7,461.8,486.0,517.0,0,1.0,720.0,C,C,F,F,3,O,A,C,D,B,B,C,B,B,B,B,B,B,E,A,A,E,B,E,B
7,2022,4,F,1,3,1,2,0,2,1.0,0,5300108.0,Brasília,53.0,DF,2.0,1.0,1.0,5300108,Brasília,53,DF,1,1,1,1,1085.0,1057.0,1068.0,1075.0,464.9,527.8,569.1,362.6,1,1.0,600.0,D,E,B,D,2,B,A,B,C,A,A,B,B,A,A,A,A,A,B,A,A,C,A,A,B
8,2022,3,F,1,3,1,2,0,2,1.0,0,5300108.0,Brasília,53.0,DF,2.0,1.0,1.0,5300108,Brasília,53,DF,1,1,1,1,1086.0,1055.0,1065.0,1076.0,476.7,524.4,518.7,551.0,1,1.0,620.0,E,E,B,C,3,B,A,B,B,A,A,B,A,A,A,A,A,A,B,A,A,C,B,A,B
9,2022,3,F,1,3,1,2,0,3,1.0,0,5300108.0,Brasília,53.0,DF,4.0,1.0,1.0,5300108,Brasília,53,DF,1,1,1,1,1085.0,1057.0,1068.0,1075.0,530.0,605.8,611.8,683.3,0,1.0,820.0,H,F,F,D,4,L,A,C,C,C,A,B,B,B,A,B,A,B,D,A,B,E,A,E,B
10,2022,2,F,1,1,1,2,0,2,1.0,0,5300108.0,Brasília,53.0,DF,1.0,2.0,1.0,5300108,Brasília,53,DF,1,1,1,1,1188.0,1175.0,1179.0,1184.0,597.0,634.8,640.8,771.9,1,1.0,860.0,B,E,C,B,4,B,A,B,C,A,A,B,B,B,A,B,A,A,B,A,A,E,A,B,B
11,2022,2,F,1,1,1,2,0,3,1.0,0,5300108.0,Brasília,53.0,DF,4.0,1.0,1.0,5300108,Brasília,53,DF,1,1,1,1,1086.0,1055.0,1065.0,1076.0,489.8,584.6,560.1,594.0,1,1.0,700.0,E,E,F,F,3,G,B,B,D,A,A,B,B,B,A,B,A,A,E,A,B,B,B,A,B
12,2022,4,F,1,3,1,2,0,2,1.0,0,5300108.0,Brasília,53.0,DF,2.0,1.0,1.0,5300108,Brasília,53,DF,1,1,1,1,1087.0,1056.0,1066.0,1078.0,391.4,406.3,352.4,405.6,1,3.0,0.0,D,D,B,B,3,D,A,C,D,A,A,B,A,B,B,B,A,A,B,A,A,D,A,B,B
13,2022,3,M,1,2,1,2,0,2,1.0,0,5300108.0,Brasília,53.0,DF,2.0,1.0,1.0,5300108,Brasília,53,DF,0,1,1,0,,1057.0,1068.0,,,555.1,517.7,,1,1.0,380.0,E,B,C,A,5,B,A,B,D,A,A,B,A,A,A,B,A,A,B,A,A,E,A,C,B
14,2022,2,M,1,1,1,2,0,2,1.0,0,5300108.0,Brasília,53.0,DF,1.0,1.0,1.0,5300108,Brasília,53,DF,1,1,1,1,1085.0,1057.0,1068.0,1075.0,587.7,464.6,559.3,518.5,1,1.0,520.0,F,E,D,B,4,C,A,B,C,A,A,B,B,B,A,A,A,A,C,A,A,D,A,B,B
15,2022,3,M,1,3,1,2,0,2,1.0,0,5300108.0,Brasília,53.0,DF,2.0,1.0,1.0,5300108,Brasília,53,DF,1,1,1,1,1087.0,1056.0,1066.0,1078.0,510.1,591.6,538.3,470.2,0,1.0,620.0,B,E,F,B,2,A,A,B,B,A,A,B,B,B,A,A,A,A,B,A,A,C,B,B,B
